"title","author","subject","abstract","date"
"does $e=mc^2$ require relativity?","tony rothman","history and philosophy of physics","it is universally believed that with his 1905 paper ``does the inertia of a body depend on its energy content?"" einstein first demonstrated the equivalence of mass and energy by making use of his new special theory of relativity. in the final step of that paper, however, einstein equates the kinetic energy of a body to its newtonian value, indicating that his result is at best a low-velocity approximation. today, several characters debate whether a mid-nineteenth century physicist, employing only galilean and pre-maxwellian physics could plausibly arrive at the celebrated result. in other words, is einsteinian relativity necessary to derive ${\mathcal e}=mc^2$?",2024-02-06
"a call for embodied ai","giuseppe paolo, jonas gonzalez-billandon, balázs kégl","artificial intelligence","we propose embodied ai as the next fundamental step in the pursuit of artificial general intelligence, juxtaposing it against current ai advancements, particularly large language models. we traverse the evolution of the embodiment concept across diverse fields - philosophy, psychology, neuroscience, and robotics - to highlight how eai distinguishes itself from the classical paradigm of static learning. by broadening the scope of embodied ai, we introduce a theoretical framework based on cognitive architectures, emphasizing perception, action, memory, and learning as essential components of an embodied agent. this framework is aligned with friston's active inference principle, offering a comprehensive approach to eai development. despite the progress made in the field of ai, substantial challenges, such as the formulation of a novel ai learning theory and the innovation of advanced hardware, persist. our discussion lays down a foundational guideline for future embodied ai research. highlighting the importance of creating embodied ai agents capable of seamless communication, collaboration, and coexistence with humans and other intelligent entities within real-world environments, we aim to steer the ai community towards addressing the multifaceted challenges and seizing the opportunities that lie ahead in the quest for agi.",2024-02-06
"large language models as moocs graders","shahriar golchin, nikhil garuda, christopher impey, matthew wenger","computation and language","massive open online courses (moocs) unlock the doors to free education for anyone around the globe with access to a computer and the internet. despite this democratization of learning, the massive enrollment in these courses means it is almost impossible for one instructor to assess every student's writing assignment. as a result, peer grading, often guided by a straightforward rubric, is the method of choice. while convenient, peer grading often falls short in terms of reliability and validity. in this study, using 18 distinct settings, we explore the feasibility of leveraging large language models (llms) to replace peer grading in moocs. specifically, we focus on two state-of-the-art llms: gpt-4 and gpt-3.5, across three distinct courses: introductory astronomy, astrobiology, and the history and philosophy of astronomy. to instruct llms, we use three different prompts based on a variant of the zero-shot chain-of-thought (zero-shot-cot) prompting technique: zero-shot-cot combined with instructor-provided correct answers; zero-shot-cot in conjunction with both instructor-formulated answers and rubrics; and zero-shot-cot with instructor-offered correct answers and llm-generated rubrics. our results show that zero-shot-cot, when integrated with instructor-provided answers and rubrics, produces grades that are more aligned with those assigned by instructors compared to peer grading. however, the history and philosophy of astronomy course proves to be more challenging in terms of grading as opposed to other courses. finally, our study reveals a promising direction for automating grading systems for moocs, especially in subjects with well-defined rubrics.",2024-02-06
"quantum panprotopsychism and the combination problem","rodolfo gambini, jorge pullin","history and philosophy of physics","we will argue that a phenomenological analysis of consciousness, similar to that of husserl, shows that the effects of phenomenal qualities shape our perception of the world. it also shows the way the physical and mathematical sciences operate, allowing us to accurately describe the observed regularities in terms of communicable mathematical laws. the latter say nothing about the intrinsic features of things. they only refer to the observed regularities in their behaviors, providing rigorous descriptions of how the universe works, to which any viable ontology must conform. classical mechanistic determinism limits everything that can occur to what happens in an instant and leaves no room for novelty or any intrinsic aspect that is not epiphenomenal. the situation changes with quantum probabilistic determinism if one takes seriously the ontology that arises from its axioms of objects, systems in certain states, and the events they produce in other objects. as bertrand russell pointed out almost a century ago, an ontology of events, with an internal phenomenal aspect, now known as panprotopsychism, is better suited to explaining the phenomenal aspects of consciousness. the central observation of this paper is that many objections to panpsychism and panprotopsychism, which are usually called the combination problem, arise from implicit hypotheses based on classical physics about supervenience. these are inappropriate at the quantum level, where an exponential number of emergent properties and states arise. the analysis imposes conditions on the possible implementations of quantum cognition mechanisms in the brain.",2024-02-04
"what do we teach to engineering students: embedded ethics, morality, and politics","avigail ferdman, emanuele ratti","computers and society","in the past few years, calls for integrating ethics modules in engineering curricula have multiplied. despite this positive trend, a number of issues with these embedded programs remains. first, learning goals are underspecified. a second limitation is the conflation of different dimensions under the same banner, in particular confusion between ethics curricula geared towards addressing the ethics of individual conduct and curricula geared towards addressing ethics at the societal level. in this article, we propose a tripartite framework to overcome these difficulties. our framework analytically decomposes an ethics module into three dimensions. first, there is the ethical dimension, which pertains to the learning goals. second, there is the moral dimension, which addresses the moral relevance of engineers conduct. finally, there is the political dimension, which scales up issues of moral relevance at the civic level. all in all, our framework has two advantages. first, it provides analytic clarity, i.e. it enables course instructors to locate ethical dilemmas in either the moral or political realm and to make use of the tools and resources from moral and political philosophy. second, it depicts a comprehensive ethical training, which enables students to both reason about moral issues in the abstract, and to socially contextualize potential solutions.",2024-02-05
"large language model adaptation for networking","duo wu, xianda wang, yaqi qiao, zhi wang, junchen jiang, shuguang cui, fangxin wang","networking and internet architecture","many networking tasks now employ deep learning (dl) to solve complex prediction and system optimization problems. however, current design philosophy of dl-based algorithms entails intensive engineering overhead due to the manual design of deep neural networks (dnns) for different networking tasks. besides, dnns tend to achieve poor generalization performance on unseen data distributions/environments. motivated by the recent success of large language models (llms), for the first time, this work studies the llm adaptation for networking to explore a more sustainable design philosophy. with the massive pre-trained knowledge and powerful inference ability, llm can serve as the foundation model, and is expected to achieve ""one model for all"" with even better performance and stronger generalization for various tasks. in this paper, we present netllm, the first llm adaptation framework that efficiently adapts llms to solve networking problems. netllm addresses many practical challenges in llm adaptation, from how to process task-specific information with llms, to how to improve the efficiency of answer generation and acquiring domain knowledge for networking. across three networking-related use cases - viewport prediction (vp), adaptive bitrate streaming (abr) and cluster job scheduling (cjs), we showcase the effectiveness of netllm in llm adaptation for networking. results show that the adapted llm surpasses state-of-the-art algorithms by 10.1-36.6% for vp, 14.5-36.6% for abr, 6.8-41.3% for cjs, and also achieves superior generalization performance.",2024-02-04
"solitons, dispersive shock waves and noel fredrick smyth","saleh baqer, tim marchant, gaetano assanto, theodoros horikis, dimitri frantzeskakis","history and philosophy of physics","noel frederick smyth (nfs), a fellow of the australian mathematical society and a professor of nonlinear waves in the school of mathematics at the university of edinburgh, passed away on february 5, 2023. nfs was a prominent figure among applied mathematicians who worked on nonlinear wave theory in a broad range of areas. throughout his academic career, which spanned nearly forty years, nfs developed mathematical models, ideas, and techniques that have had a large impact on the understanding of wave motion in diverse media. his major research emphasis primarily involved the propagation of solitary waves, or solitons, and dispersive shock waves, or undular bores, in various media, including optical fibers, liquid crystals, shallow waters and atmosphere. several approaches he developed have proven effective in analyzing the dynamics and modulations of related wave phenomena. this tribute in the journal of wave motion aims to provide a brief biographical sketch of nfs, discuss his major research achievements, showcase his scientific competence, untiring mentorship and unwavering dedication, as well as share final thoughts from his former students, colleagues, friends, and family. the authors had a special connection with nfs on both on personal and professional levels and hold deep gratitude for him and his invaluable work. in recognition of his achievements in applied mathematics, wave motion hosts a special issue entitled ""modelling nonlinear wave phenomena: from theory to applications,"" which presents the recent advancements in this field.",2024-02-02
"yolino++: single-shot estimation of generic polylines for mapless automated diving","annika meyer, christoph stiller","computer vision and pattern recognition","in automated driving, highly accurate maps are commonly used to support and complement perception. these maps are costly to create and quickly become outdated as the traffic world is permanently changing. in order to support or replace the map of an automated system with detections from sensor data, a perception module must be able to detect the map features. we propose a neural network that follows the one shot philosophy of yolo but is designed for detection of 1d structures in images, such as lane boundaries. we extend previous ideas by a midpoint based line representation and anchor definitions. this representation can be used to describe lane borders, markings, but also implicit features such as centerlines of lanes. the broad applicability of the approach is shown with the detection performance on lane centerlines, lane borders as well as the markings both on highways and in urban areas. versatile lane boundaries are detected and can be inherently classified as dashed or solid lines, curb, road boundaries, or implicit delimitation.",2024-02-01
"comment on: was ada lovelace actually the first programmer?","thomas misa","history and philosophy of physics","comment on herbert bruderer's recent cacm contribution, providing additional citations to recent publications on ada lovelace and suggesting a correction to his conclusions.",2023-10-03
"quantum nonlocality: how does nature do it?","marian kupczynski","quantum physics","in his article in science, nicolas gisin claimed that quantum correlations emerge from outside space time. we explain that they are due to space time symmetries. this paper is a critical review of metaphysical conclusions found in many recent articles. it advocates the importance of contextuality, einstein causality and global symmetries. bell tests allow only rejecting probabilistic coupling provided by a local hidden variable model, but they do not justify metaphysical speculations about quantum nonlocality and objects which know about each other state, even when separated by large distances. the violation of bell inequalities in physics and in cognitive science can be explained using the notion of bohr contextuality. if contextual variables, describing varying experimental contexts, are correctly incorporated into a probabilistic model, then the bell and chsh inequalities cannot be proven and nonlocal correlations may be explained in an intuitive way. we also elucidate the meaning of statistical independence assumption incorrectly called free choice, measurement independence or no conspiracy. since correlation does not imply causation, the violation of statistical independence should be called contextuality and it does not restrict the experimenter freedom of choice. therefore, contrary to what is believed, closing the freedom of choice loophole does not close the contextuality loophole.",2024-02-01
"the smoke of zaanen","philip w. phillips","history and philosophy of physics","theoretical physics suffered a major loss with the death of my dear friend jan zaanen on january 18. this note is my remembrance of him.",2024-01-31
"the development of the concept of exchange forces in the 1930s: close encounters between europe and japan and the birth of nuclear theory","marco di mauro, salvatore esposito, adele naddeo","history and philosophy of physics","the onset and the development of the concept of exchange force in quantum physics are historically reconstructed, starting from heisenberg's seminal contributions in 1926 and going through the great developments in nuclear physics, which allowed the emergence of the idea of force mediating virtual quanta. although most of such work was performed in europe, the last and decisive effort in this long path was carried out by japanese scientists in the 1930s. this is the main focus of the present work, which retraces the achievements of yukawa and tomonaga, whose results and mutual interactions are carefully analyzed and related to those of european physicists.",2024-01-31
"i think, therefore i am: benchmarking awareness of large language models using awarebench","yuan li, yue huang, yuli lin, siyuan wu, yao wan, lichao sun","computation and language","do large language models (llms) exhibit any forms of awareness similar to humans? in this paper, we introduce awarebench, a benchmark designed to evaluate awareness in llms. drawing from theories in psychology and philosophy, we define awareness in llms as the ability to understand themselves as ai models and to exhibit social intelligence. subsequently, we categorize awareness in llms into five dimensions, including capability, mission, emotion, culture, and perspective. based on this taxonomy, we create a dataset called awareeval, which contains binary, multiple-choice, and open-ended questions to assess llms' understandings of specific awareness dimensions. our experiments, conducted on 13 llms, reveal that the majority of them struggle to fully recognize their capabilities and missions while demonstrating decent social intelligence. we conclude by connecting awareness of llms with ai alignment and safety, emphasizing its significance to the trustworthy and ethical development of llms. our dataset and code are available at this https url.",2024-01-31
"tracing quantum correlations back to collective interferences","ming ji, jonte r. hance, holger f. hofmann","quantum physics","in this paper, we investigate the possibility of explaining nonclassical correlations between two quantum systems in terms of quantum interferences between collective states of the two systems. we achieve this by mapping the relations between different measurement contexts in the product hilbert space of a pair of two-level systems onto an analogous sequence of interferences between paths in a single-particle interferometer. the paradoxical relations between different measurement outcomes can then be traced to the distribution of probability currents in the interferometer. we show that the relation between probability currents and correlations can be represented by continuous conditional (quasi)probability currents through the interferometer, given by weak values; the violation of the noncontextual assumption is expressed by negative conditional currents in some of the paths. since negative conditional currents correspond to the assignment of negative conditional probabilities to measurements results in different measurement contexts, the necessity of such negative probability currents represents a failure of noncontextual local realism. our results help to explain the meaning of nonlocal correlations in quantum mechanics, and support feynman's claim that interference is the origin of all quantum phenomena.",2024-01-30
"the physicists philosophy of physics","p. j. e. peebles","history and philosophy of physics","i argue that research in physics operates under an implicit community philosophy, and i offer a definition i think physicists would accept, by and large. i compare this definition to what philosophers, sociologists, and historians of science, with physicists, say we are doing.",2024-01-29
"robustness and the event horizon telescope: the case of the first image of m87*","juliusz doboszewski, jamee elder","history and philosophy of physics","we examine the justification for taking the event horizon telescope's famous 2019 image to be a reliable representation of the region surrounding a black hole. we argue that it takes the form of a robustness argument, with the resulting image being robust across variation in a range of data-analysis pipelines. we clarify the sense of ""robustness"" operating here and show how it can account for the reliability of astrophysical inferences, even in cases -- like the eht -- where these inferences are based on experiments that are (for all practical purposes) unique. this has consequences far beyond the 2019 image.",2024-01-29
"the combination problem for relational quantum mechanics","emily adlam","quantum physics","this article uses the existing literature on the panpsychist combination problem as a starting point to think about how to address a structurally similar combination problem in relational quantum mechanics. i note some similarities and differences between the two problems, and i consider various proposed solutions to the panpsychist problem, assessing the prospects for a similar solution in the context of rqm. i argue that overall the prospects for solving rqm's combination problem look better for rqm with cross-perspective links than for orthodox versions of rqm.",2024-01-28
"pannekoek's galaxy","pieter c. van der kruit","history and philosophy of physics","antonie (anton) pannekoek (1873-1960) is remembered as one of the initiators of the field of stellar atmospheres. a second part of his research concerned galactic astronomy. he was convinced that the sidereal system was built up of clouds of stars in a smooth, low-density stratum. in addition there were dark clouds together with streaks with little or no extinction in between. pannekoek looked at bright star clouds and estimated their distance from their contribution to star counts. he found values of tens of kpc, which would mean their distribution was similar in extent to that of shapleys globular cluster system. later he had to reduce his distance by a factor over two, and later still retract the method. he developed a rigorous method of estimating distances of dark clouds from modeling star counts off and on the cloud, preceding wolf's quick and dirty method. he should have received more credit for this. he started isophotal maps of the northern and southern milky way, first from visual observations, later from photographic surface photometry using out-of-focus exposures. i compare pannekoeks maps with detailed photographic surface photometry of the south by the group in bochum and to the almost all-sky mapping by the pioneer 10 spacecraft, free of zodiacal light, from beyond the asteroid belt. this shows panneloeks maps to be surprisingly accurate. the legacy of pannekoek in the area of galactic research consists of his mapping of the structure of the nearby part of the galaxy, the distances of dark clouds, and isophotal maps of the milky way. his other contributions turned out inconclusive or wrong as a result of his conviction, resulting from his many years of observing and mapping the milky way, that the nearby distribution is characterized primarily by more or less isolated clouds of stars and by dust restricted to isolated dark clouds and streaks.",2024-01-27
"en route to reduction: lorentzian manifolds and causal sets","jeremy butterfield","history and philosophy of physics","i present aspects of causal set theory (a research programme in quantum gravity) as being en route to achieving a reduction of lorentzian geometry to causal sets. i take reduction in philosophers' sense; and i argue that the prospects are good for there being a reduction of the type envisaged by nagel. (i also discuss the prospects for the stronger functionalist variant of nagelian reduction, that was formulated by lewis.) one main theme will be causal set theory's use of a physical scale (viz. the planck scale) to formulate how it recovers a lorentzian manifold. this use illustrates various philosophical topics relevant to reduction, such as limiting relations between theories, and the role of analogy. i also emphasise causal set theory's probabilistic method, viz. poisson sprinkling: which is used both for formulating the reduction and for exploring its prospects.",2024-01-27
"distributionally robust optimization and robust statistics","jose blanchet, jiajin li, sirui lin, xuhui zhang","methodology","we review distributionally robust optimization (dro), a principled approach for constructing statistical estimators that hedge against the impact of deviations in the expected loss between the training and deployment environments. many well-known estimators in statistics and machine learning (e.g. adaboost, lasso, ridge regression, dropout training, etc.) are distributionally robust in a precise sense. we hope that by discussing the dro interpretation of well-known estimators, statisticians who may not be too familiar with dro may find a way to access the dro literature through the bridge between classical results and their dro equivalent formulation. on the other hand, the topic of robustness in statistics has a rich tradition associated with removing the impact of contamination. thus, another objective of this paper is to clarify the difference between dro and classical statistical robustness. as we will see, these are two fundamentally different philosophies leading to completely different types of estimators. in dro, the statistician hedges against an environment shift that occurs after the decision is made; thus dro estimators tend to be pessimistic in an adversarial setting, leading to a min-max type formulation. in classical robust statistics, the statistician seeks to correct contamination that occurred before a decision is made; thus robust statistical estimators tend to be optimistic leading to a min-min type formulation.",2024-01-26
"deconstructing denoising diffusion models for self-supervised learning","xinlei chen, zhuang liu, saining xie, kaiming he","computer vision and pattern recognition","in this study, we examine the representation learning abilities of denoising diffusion models (ddm) that were originally purposed for image generation. our philosophy is to deconstruct a ddm, gradually transforming it into a classical denoising autoencoder (dae). this deconstructive procedure allows us to explore how various components of modern ddms influence self-supervised representation learning. we observe that only a very few modern components are critical for learning good representations, while many others are nonessential. our study ultimately arrives at an approach that is highly simplified and to a large extent resembles a classical dae. we hope our study will rekindle interest in a family of classical methods within the realm of modern self-supervised learning.",2024-01-25
"200 years of the navier-stokes equation","sylvio r. bistafa","history and philosophy of physics","the year 2022 marked the 200th anniversary of the first appearance of the navier-stokes equation, a landmark in fluid dynamics introduced by claude-louis navier in 1822. this equation revolutionized the understanding of fluid motion by incorporating viscosity and friction into the equations, expanding their applicability beyond idealized fluids. in this manuscript, we explore the historical development of the navier-stokes equation and its profound impact on fluid dynamics over the past two centuries. from navier's initial insights to george stokes' experimental validations and subsequent contributions by other scientists, we trace the evolution of this equation. we also delve into its practical applications, including its role in the development of computational fluid dynamics. the navier-stokes equation has played a pivotal role in advancing our understanding of fluid behavior, making it a cornerstone of modern science and engineering.",2023-10-14
"quantum collapse as undecidable proposition in an everettian multiverse","fabrizio tamburini, ignazio licata","quantum physics","our representation of the universe is built with sequences of symbols, numbers, operators, rules and undecidable propositions defining our mathematical truths, represented either by classical, quantum and probabilistic turing machines containing intrinsic randomness. each representation is at all effects a physical subset of the universe, a metastructure of events in space and time, which actively participate to the evolution of the universe as we are internal observers. the evolution is a deterministic sequence of local events, quantum measurements, originated from the local wavefunction collapse of the complementary set of the observers that generate the local events in the universe. with these assumptions, the universe and its evolution are described in terms of a semantically closed structure without a global object-environment loss of decoherence as a von neumann's universal constructor with a semantical abstract whose structure cannot be decided deterministically a-priori from an internal observer. in a semantically closed structure the realization of a specific event writing the semantical abstract of the constructor is a problem that finds a ""which way"" for the evolution of the universe in terms of a choice of the constructor's state in a metastructure, the many-world everett scenario from the specific result of a quantum measurement, a classical gödel undecidable proposition for an internal observer, exposing the limits of our description and possible simulation of the universe.",2024-01-24
"joseph wolstenholme and the trigonometry of tetrahedra","daniil rudenko","history and philosophy of physics","we describe the results in the trigonometry of tetrahedra obtained by joseph wolstenholme in the last few years of his life. 'the late professor wolstenholme, m.a., sc.d., shortly before his death, handed to me a scrap of paper, on which he had hastily scratched the following equation in tetrahedra, saying he had proved it ...' (richardson, 1897).",2024-01-24
"conservation principles in aqual","clara bradley, james owen weatherall","history and philosophy of physics","we consider conservation of momentum in aqual, a field-theoretic extension to modified newtonian dynamics (mond). we show that while there is a sense in which momentum is conserved, it is only if momentum is attributed to the gravitational field, and thus newton's third law fails as usually understood. we contrast this situation with that of newtonian gravitation on a field theoretic formulation. we then briefly discuss the situation in teves, a relativistic theory that has aqual as a classical limit.",2024-01-23
"ai, insurance, discrimination and unfair differentiation. an overview and research agenda","marvin s. l. van bekkum, frederik j. zuiderveen borgesius","computers and society","insurers increasingly use ai. we distinguish two situations in which insurers use ai: (i) data-intensive underwriting, and (ii) behaviour-based insurance. (i) first, insurers can use ai for data analysis to assess risks: data-intensive underwriting. underwriting is, in short, calculating risks and amending the insurance premium accordingly. (ii) second, insurers can use ai to monitor the behaviour of consumers in real-time: behaviour-based insurance. for example, some car insurers give a discount if a consumer agrees to being tracked by the insurer and drives safely. while the two trends bring many advantages, they may also have discriminatory effects. this paper focuses on the following question. which discrimination-related effects may occur if insurers use data-intensive underwriting and behaviour-based insurance? we focus on two types of discrimination-related effects: discrimination and other unfair differentiation. (i) discrimination harms certain groups who are protected by non-discrimination law, for instance people with certain ethnicities. (ii) unfair differentiation does not harm groups that are protected by non-discrimination law, but it does seem unfair. we introduce four factors to consider when assessing the fairness of insurance practices. the paper builds on literature from various disciplines including law, philosophy, and computer science.",2024-01-22
"introduction to the second edition of ""the supersymmetric world''","m. shifman","history and philosophy of physics","the first edition of this book was released in 2000, just before the symposium ``thirty years of supersymmetry'' was held at the william i. fine theoretical physics institute (ftpi) of the university of minnesota. founders and trailblazers of supersymmetry descended on ftpi, as well as a large crowd of younger theorists deeply involved in research in this area. since then 23 years have elapsed and significant changes happened in supersymmetry (susy). its history definitely needs an update. such an update is presented below. the second edition of the revised collection will be released in 2024.",2024-01-19
"biography of the french astronomer henri camichel","emmanuel davoust","history and philosophy of physics","henri camichel was an astronomer at pic du midi observatory, where he contributed to the study of planets of the solar system and their satellites with audouin dollfus and his team. in 1961, with charles boyer, he found that the upper atmosphere of venus had a counter-clockwise rotation of four days, which was later confirmed by space probes, as were the team's accurate measurements of the diameters of planets. he was also an instrumentalist, and contributed to the maintenance and development of the telescopes, notably the 2-meter telescope and focal instruments at pic du midi observatory.",2023-10-12
"verification and enforcement of strong state-based opacity for discrete-event systems","xiaoguang han, kuize zhang, zhiwu li","formal languages and automata theory","in this paper, we investigate the verification and enforcement of strong state-based opacity (sbo) in discrete-event systems modeled as partially-observed (nondeterministic) finite-state automata, including strong k-step opacity (k-sso), strong current-state opacity (scso), strong initial-state opacity (siso), and strong infinite-step opacity (inf-sso). they are stronger versions of four widely-studied standard opacity notions, respectively. we firstly propose a new notion of k-sso, and then we construct a concurrent-composition structure that is a variant of our previously-proposed one to verify it. based on this structure, a verification algorithm for the proposed notion of k-sso is designed. also, an upper bound on k in the proposed k-sso is derived. secondly, we propose a distinctive opacity-enforcement mechanism that has better scalability than the existing ones (such as supervisory control). the basic philosophy of this new mechanism is choosing a subset of controllable transitions to disable before an original system starts to run in order to cut off all its runs that violate a notion of strong sbo of interest. accordingly, the algorithms for enforcing the above-mentioned four notions of strong sbo are designed using the proposed two concurrent-composition structures. in particular, the designed algorithm for enforcing inf-sso has lower time complexity than the existing one in the literature, and does not depend on any assumption. finally, we illustrate the applications of the designed algorithms using examples.",2024-01-18
"stolzenberg's ""the holy office in the republic of letters"" revisited: on an astronomical diagram and whether the papacy tacitly permitted the circulation of an explicitly copernican book in 1660","christopher m. graney","history and philosophy of physics","did the papacy tacitly permit the circulation of an explicitly copernican book in 1660? one scholar has recently argued that it did. a close analysis of a unique illustration from that book, andreas cellarius's atlas harmonia macrocosmica, illuminates this argument. this is because the illustration, a diagram showing the relative sizes of the sun, moon, planets, and stars, was among the material reviewed (at the request of the book's publisher) by the holy office prior to the book's publication and was pro-copernican.",2024-01-18
"exact real search: formalised optimisation and regression in constructive univalent mathematics","todd waugh ambridge","logic in computer science","the real numbers are important in both mathematics and computation theory. computationally, real numbers can be represented in several ways; most commonly using inexact floating-point data-types, but also using exact arbitrary-precision data-types which satisfy the expected mathematical properties of the reals. this thesis is concerned with formalising properties of certain types for exact real arithmetic, as well as utilising them computationally for the purposes of search, optimisation and regression. we develop, in a constructive and univalent type-theoretic foundation of mathematics, a formalised framework for performing search, optimisation and regression on a wide class of types. this framework utilises martín escardó's prior work on searchable types, along with a convenient version of ultrametric spaces -- which we call closeness spaces -- in order to consistently search certain infinite types using the functional programming language and proof assistant agda. we formally define and prove the convergence properties of type-theoretic variants of global optimisation and parametric regression, problems related to search from the literature of analysis. as we work in a constructive setting, these convergence theorems yield computational algorithms for correct optimisation and regression on the types of our framework. importantly, we can instantiate our framework on data-types from the literature of exact real arithmetic, allowing us to perform our variants of search, optimisation and regression on ternary signed-digit encodings of the real numbers, as well as a simplified version of hans-j. boehm's functional encodings of real numbers. furthermore, we contribute to the extensive work on ternary signed-digits by formally verifying the definition of certain exact real arithmetic operations using the escardó-simpson interval object specification of compact intervals.",2024-01-17
"concept alignment","sunayana rane, polyphony j. bruna, ilia sucholutsky, christopher kello, thomas l. griffiths","machine learning","discussion of ai alignment (alignment between humans and ai systems) has focused on value alignment, broadly referring to creating ai systems that share human values. we argue that before we can even attempt to align values, it is imperative that ai systems and humans align the concepts they use to understand the world. we integrate ideas from philosophy, cognitive science, and deep learning to explain the need for concept alignment, not just value alignment, between humans and machines. we summarize existing accounts of how humans and machines currently learn concepts, and we outline opportunities and challenges in the path towards shared concepts. finally, we explain how we can leverage the tools already being developed in cognitive science and ai research to accelerate progress towards concept alignment.",2024-01-09
"cellular automaton ontology, bits, qubits, and the dirac equation","hans-thomas elze","quantum physics","cornerstones of the cellular automaton interpretation of quantum mechanics are its ontological states that evolve by permutations, in this way never creating would-be quantum mechanical superposition states. we review and illustrate this with a classical ising spin chain. it is shown that it can be related to the weyl equation in the continuum limit. yet, the model of discrete spins or bits unavoidably becomes a model of qubits by generating superpositions, if only slightly deformed. we study modifications of its signal velocity which, however, do not relate to mass terms. to incorporate the latter, we consider the dirac equation in 1+1 dimensions and sketch an underlying discrete deterministic ""necklace of necklaces"" automaton that qualifies as ontological.",2024-01-16
"non-archimedean plectic jacobians","michele fornea, lennart gehrmann","number theory","plectic stark-heegner points were recently introduced to explore the arithmetic of higher rank elliptic curves: the concept was inspired by nekovář and scholl's plectic philosophy, while the construction is based on bertolini and darmon's groundbreaking use of the $p$-adic uniformization of shimura curves to study the birch-swinnerton-dyer conjecture. in this note we give a geometric interpretation of plectic heegner points using the non-archimedean uniformization of higher-dimensional quaternionic shimura varieties. to this end, we define and study a plectic jacobian functor from a category of mumford varieties to topological groups extending the classical jacobian functor on mumford curves.",2024-01-15
"why we care (about quantum machine learning)","richard a. wolf","physics and society","quantum machine learning has received tremendous amounts of attention in the last ten years, and this trend is on the rise. despite its developments being currently limited to either theoretical statements and formal proofs or small-scale noisy experiments and classical simulations, this field of quantum technologies has been consistently standing in the spotlight. moreover, the locus of attention seems to have been skewed towards three central questions: ""can we beat classical computers?"", ""how?"" and ""when?"". in this work, i argue that focus on quantum machine learning stems from a wide range of factors, some of which lie outside the discipline itself. based on both recent and key publications on the subject as well as general audience sources, i give a brief overview of the core questions being raised in quantum machine learning and propose a socio-epistemologic interpretation of the motivations behind those and interplay between them.",2024-01-15
"reliability and interpretability in science and deep learning","luigi scorzato","artificial intelligence","in recent years, the question of the reliability of machine learning (ml) methods has acquired significant importance, and the analysis of the associated uncertainties has motivated a growing amount of research. however, most of these studies have applied standard error analysis to ml models, and in particular deep neural network (dnn) models, which represent a rather significant departure from standard scientific modelling. it is therefore necessary to integrate the standard error analysis with a deeper epistemological analysis of the possible differences between dnn models and standard scientific modelling and the possible implications of these differences in the assessment of reliability. this article offers several contributions. first, it emphasises the ubiquitous role of model assumptions (both in ml and traditional science) against the illusion of theory-free science. secondly, model assumptions are analysed from the point of view of their (epistemic) complexity, which is shown to be language-independent. it is argued that the high epistemic complexity of dnn models hinders the estimate of their reliability and also their prospect of long-term progress. some potential ways forward are suggested. thirdly, this article identifies the close relation between a model's epistemic complexity and its interpretability, as introduced in the context of responsible ai. this clarifies in which sense, and to what extent, the lack of understanding of a model (black-box problem) impacts its interpretability in a way that is independent of individual skills. it also clarifies how interpretability is a precondition for assessing the reliability of any model, which cannot be based on statistical analysis alone. this article focuses on the comparison between traditional scientific models and dnn models. but, random forest and logistic regression models are also briefly considered.",2024-01-14
"how quarks made their entrance into our worldview via cosmic rays and proton accelerators","jos engelen","history and philosophy of physics","sixty years ago gell-mann introduced, with a striking sense of caution, a new fundamental layer in the structure of matter. he christened the associated particles 'quarks', a name borrowed from the psychedelic flood of words of james joyce's novel finnegans wake. independently and simultaneously, zweig arrived at similar ideas. we outline the circumstances that led to the introduction of quarks.",2024-01-13
"the causal axioms of algebraic quantum field theory: a diagnostic","francisco calderón","mathematical physics","algebraic quantum field theory (aqft) puts forward three ""causal axioms"" that aim to characterize the theory as one that implements relativistic causation: the spectrum condition, microcausality, and primitive causality. in this paper, i aim to show, in a minimally technical way, that none of them fully explains the notion of causation appropriate for aqft because they only capture some of the desiderata for relativistic causation i state or because it is often unclear how each axiom implements its respective desideratum. after this diagnostic, i will show that a fourth condition, local primitive causality (lpc), fully characterizes relativistic causation in the sense of fulfilling all the relevant desiderata. however, it only encompasses the virtues of the other axioms because it is implied by them, as i will show from a construction by haag and schroer (1962). since the conjunction of the three causal axioms implies lpc and other important results in qft that lpc does not imply, and since lpc helps clarify some of the shortcomings of the three axioms, i advocate for a holistic interpretation of how the axioms characterize the causal structure of aqft against the strategy in the literature to rivalize the axioms and privilege one among them.",2024-01-12
